building,day,teacher,school,room,semester,faculty,course_type,course_name,course_number,hours
מכסיקו,ד',גב' בדש רינה,הבעה ויצירה באמנויות ,121 ,ב',אמנויות,שיעור,קולני יותר ממילים,0813-6002-01,1200 - 1000
מכסיקו,ד',"ד""ר הדס אריה",הבעה ויצירה באמנויות ,208 ,ב',אמנויות,שיעור,קולוקוויום,0813-9997-01,1600 - 1400
מכסיקו,א',"ד""ר מיכאלי טלילה",תולדות האמנות ,115 ,א',אמנויות,שיעור,מבוא לאמנות קלאסית: אמנות יוונית ואמנות הלניסטית,0821-1005-01,1200 - 1000
מכסיקו,א',"ד""ר מיכאלי טלילה",תולדות האמנות ,115 ,ב',אמנויות,שיעור,מבוא לאמנות קלאסית: המיתולוגיה באמנות,0821-1009-01,1200 - 1000
מכסיקו,ב',"ד""ר פישר מתתיהו",תולדות האמנות ,206א,ב',אמנויות,שיעור,"מבוא לאמנות קלאסית : רומא ויהודה, מרכז ושוליים באמנות הרומית",0821-1131-01,1800 - 1600
קיקואין,ד',"ד""ר פישהוף גיל",תולדות האמנות ,001 ,א',אמנויות,שיעור,"מבוא לאמנות ימי הביניים: בין מסורת, שינוי ותחייה",0821-1306-01,1200 - 1000
מכסיקו,ב',פרופ פינקוס אסף,תולדות האמנות ,206א,ב',אמנויות,שיעור,"מבוא לאמנות ימה""ב בשיאם: אמנות בתום האלף - רומנסק וגותיקה",0821-1312-01,1600 - 1400
מכסיקו,ב',"ד""ר ברטל כהן רננה",תולדות האמנות ,206א,ב',אמנויות,שיעור,מבוא לאמנות ימי הביניים: הנרטיב הנוצרי באמנות: טקסט ודימוי (קורס חתך),0821-1314-01,1200 - 1000
מכסיקו,ג',"ד""ר קפיטיקין לב אריה",תולדות האמנות ,115 ,א',אמנויות,שיעור,מבוא לאמנות עמי האסלאם: הראשית,0821-1331-01,1600 - 1400
קיקואין,ג',"ד""ר קפיטיקין לב אריה",תולדות האמנות ,001 ,ב',אמנויות,שיעור,מבוא לאמנות עמי האסלאם: התפארת,0821-1341-01,1600 - 1400
קיקואין,ג',"ד""ר הנדלר יוסף",תולדות האמנות ,001 ,ב',אמנויות,שיעור,מבוא לאמנות הרנסנס: ממיכלאנג'לו עד קרוואג'יו: האמנות האיטלקית מהרנסנס הגבוה לבאר,0821-1430-01,1200 - 1000
מכסיקו,א',"ד""ר צולקמן תמר",תולדות האמנות ,115 ,ב',אמנויות,שיעור,מבוא לאמנות הרנסנס: אמנות חדשה מציאות ישנה - משחק הריאליזם ברנסנס הצפוני,0821-1431-01,1600 - 1400
